,wifes_edu,husbands_edu,n_children,wifes_rel,wifes_working,husbands_occ,sol,media,contraceptive
286,4,4,0,1,0,1,4,0,2
1178,3,3,2,1,1,2,4,0,2
874,4,3,3,1,1,3,3,0,1
546,4,4,1,1,1,1,4,0,1
539,4,4,3,1,1,1,4,0,1
1115,4,4,1,1,1,3,4,0,2
1369,3,3,1,1,1,3,2,0,1
1290,2,2,4,1,1,3,4,0,1
863,4,3,1,1,1,3,4,0,1
659,3,3,1,1,0,3,3,0,1
1453,1,3,5,1,1,3,4,0,1
503,3,3,3,1,1,1,2,0,1
405,3,3,2,1,1,3,3,0,2
1332,1,2,3,1,1,3,2,0,1
303,2,4,2,1,1,3,4,0,2
839,3,3,3,1,1,2,1,0,1
854,3,3,6,1,1,3,3,0,1
345,4,4,1,0,1,2,4,0,2
824,3,4,5,1,1,1,2,0,1
1153,2,3,3,1,1,3,4,0,2
1093,3,3,1,1,1,2,2,0,2
186,2,4,0,1,1,3,2,0,2
248,4,4,1,1,1,1,2,0,2
1187,2,3,0,1,1,3,4,0,2
821,3,4,2,1,1,3,3,0,1
640,3,4,5,1,1,1,2,1,1
1012,3,4,4,1,1,1,4,0,2
1212,2,4,3,1,1,3,2,0,2
1472,3,3,1,1,1,2,4,0,1
1376,3,4,5,1,1,3,3,0,1
188,3,3,2,1,1,3,2,0,2
702,1,2,5,1,0,1,2,0,1
75,3,4,1,1,1,2,3,0,2
